USER,Link,Editor,COMPARE_KLHK_1990,COMPARE_UMD_2001,OMISSION or COMMISSION,NEW EDITS,DISAGREEMENT NOTES,ISLAND,ID,1990 land cover,X1990_CONF,Final land use KLHK,FINAL_LU_UMD,CONF_FINAL,Change 1 year,Change 1 previous cloud free year,Change 1 type,Change 1 confidence,Change 2 year,Change 2 previous cloud free year,Change 2 type,Change 2 confidence,Change 3 year,Change 3 previous cloud free year,Change 3 type,Change 3 confidence,Change 4 year,Change 4 previous cloud free year,Change 4 type,Change 4 confidence,Change 5 year,Change 5 previous cloud free,Change 5 type,Change 5 confidence,Change 6 year,Change 6 previous cloud free,Change 6 type,Change 6 confidence,SPOT,HIGHRES_GE,FY_CF,CHANGE_EVENT,CHANGE_E_CONF,AGREE_DISAGREE,D_EDITS,X1990_NOTES,CLASS_NOTES,CH1_NOTES,CH2_NOTES,CH3_NOTES,CH4_NOTES,CH5_NOTES,CH6_NOTES,NOTES_FINAL
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample729.html,Rizky checked,OMISSION,AGREE_FOR,YES,No edits needed,Seasonal Wetland,Irian Jaya,729,Primary intact,High,Hutan Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample743.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,Seasonal Wetland,Irian Jaya,743,Primary degraded,High,Hutan Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2013,1990,No,High,Disagree - major,NA,Sample complete!,"1990 belukar rawa, kemudian terjadi perubahan menjadi belukar rawa/savana/lahan terbuka secara bergantian",,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample751.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,Seasonal Wetland,Irian Jaya,751,Primary degraded,Low,Hutan Sekunder,DEG,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2006,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample754.html,Rizky checked,OMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,754,Primary degraded,High,Perkebunan,CLEAR_PE,High,1997,1995,Degraded - Selective Logging,High,1999,1997,Degraded - Nearby clearing,High,2000,1997,Cleared - Palm estates,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1995,Yes,High,Disagree - major,NA,No available data during 1990-1994,Sawit,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample756.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,Seasonal Wetland,Irian Jaya,756,Primary intact,High,Hutan Rawa Sekunder,DEG_FI,High,1999,1990,Degraded - Fire,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample766.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,766,Non Forest,High,Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample772.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,772,Non Forest,High,Hutan Sekunder,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - minor,NA,Sample complete!,"sungai menjadi daratan, terjadi perubahan aliran sungai",,,NA,NA,NA,NA,"Changing on the river stream, the river eroded and becomes land"
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample773.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,773,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1995,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample782.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,782,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1991,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample788.html,Rizky checked,OMISSION,AGREE_FOR,YES,No edits needed,,Irian Jaya,788,Primary intact,High,Hutan Mangrove,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1992,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample789.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,789,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2009,1992,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample790.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,Seasonal Wetland,Irian Jaya,790,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2003,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample796.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,796,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample815.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,Seasonal Wetland,Irian Jaya,815,Primary degraded,High,Hutan Rawa Sekunder,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2013,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample827.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,827,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2009,1997,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample837.html,Rizky checked,COMMISSION,AGREE_NON,YES,Edited entry,Mountain forest. Pretty clear through GE,Irian Jaya,837,Primary intact,High,Hutan Primer,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1992,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample845.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,845,Non Forest,High,Pertanian Lahan Kering Campur Semak,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2013,1994,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample846.html,Rizky checked,AGREE_FOR,OMISSION,YES,Edited entry,Regrowth of swamp pasture,Irian Jaya,846,Non Forest,Low,Belukar Rawa,DEG,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2012,2001,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample853.html,Rizky checked,AGREE_NON,COMMISSION,YES,No edits needed,,Irian Jaya,853,Non Forest,Low,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2012,1995,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample855.html,Rizky checked,COMMISSION,AGREE_NON,YES,Edited entry,More than half pixel is within mountainous forest,Irian Jaya,855,Primary intact,High,Hutan Primer,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1991,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample866.html,Rizky checked,COMMISSION,COMMISSION,YES,Edited entry,,Irian Jaya,866,Primary intact,Low,Hutan Sekunder,NON,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1997,Yes,High,Disagree - major,NA,"Evidenced by Google Earth, in 1990 there was a completely road",,,,NA,NA,NA,NA,"Forest regrowth. In 1990, it was a road and there's naturally regrowth until 2016"
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample887.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,887,Non Forest,High,Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2002,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample890.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,890,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2002,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample891.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,891,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2010,1994,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample893.html,Rizky checked,AGREE_NON,COMMISSION,YES,No edits needed,,Irian Jaya,893,Non Forest,High,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2013,1994,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample894.html,Rizky checked,OMISSION,AGREE_FOR,YES,Edited entry,,Irian Jaya,894,Non Forest,High,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2013,1990,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample897.html,Rizky checked,AGREE_NON,COMMISSION,YES,No edits needed,,Irian Jaya,897,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample914.html,Rizky checked,AGREE_NON,COMMISSION,YES,No edits needed,,Irian Jaya,914,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1994,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample923.html,Rizky checked,AGREE_FOR,OMISSION,YES,Edited entry,changed from Hutan Sekunder to Hutan Rawa Sekunder,Irian Jaya,923,Primary degraded,High,Hutan Rawa Sekunder,DEG_NE,High,2003,2002,Degraded - Nearby clearing,High,2014,2012,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,Yes,High,Disagree - minor,NA,,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample930.html,Rizky checked,AGREE_NON,COMMISSION,YES,No edits needed,,Irian Jaya,930,Non Forest,High,Belukar Rawa,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2011,1990,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample931.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,931,Primary degraded,High,Hutan Sekunder,DEG_NE,High,2000,1999,Degraded - Nearby clearing,High,2011,2010,Degraded - Nearby clearing,High,2014,2013,Degraded - Nearby clearing,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,1990,Yes,High,Disagree - major,NA,,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample933.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,933,Primary degraded,High,Lahan Terbuka,CLEAR_FI,High,1993,1992,Degraded - Nearby clearing,High,2016,2015,Cleared - Fire,High,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample934.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,Seasonal Wetland,Irian Jaya,934,Primary intact,High,Hutan Rawa Primer,PIN,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1996,No,High,Agree,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample936.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Irian Jaya,936,Non Forest,Low,Belukar,NON,Low,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1997,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample939.html,Rizky checked,OMISSION,OMISSION,YES,Edited entry,changing from forest degradation to non forest,Irian Jaya,939,Non Forest,Low,Savana,CLEAR_FI,High,,,,,,,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2010,2001,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample952.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,952,Primary intact,High,Hutan Sekunder,DEG_NE,High,1998,1997,Degraded - Nearby clearing,High,2013,2012,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,Yes,High,Disagree - minor,NA,,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample957.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,,Irian Jaya,957,Primary intact,High,Hutan Sekunder,DEG_NE,High,1999,1996,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1993,No,High,Disagree - major,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Irian_Jaya_sample967.html,Rizky checked,OMISSION,OMISSION,YES,Edited entry,changing from forest degradation to non forest,Irian Jaya,967,Non Forest,High,Belukar Rawa,CLEAR_FI,High,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,none,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Jawa_sample2831.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Jawa,2831,Non Forest,High,Hutan Tanaman,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2014,1994,No,High,Agree,NA,No available data during 1990-1992,Jati,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Jawa_sample2836.html,Rizky checked,OMISSION,AGREE_NON,YES,No edits needed,,Jawa,2836,Non Forest,Low,Belukar,CLEAR_AB,High,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2006,1990,Yes,High,Disagree - minor,NA,,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Jawa_sample2840.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Jawa,2840,Non Forest,High,Pertanian Lahan Kering Campur Semak,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,2009,2005,No,High,Disagree - minor,NA,No available data during 1990-2004,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Jawa_sample2864.html,Rizky checked,AGREE_FOR,OMISSION,YES,No edits needed,,Jawa,2864,Primary degraded,High,Hutan Sekunder,DEG_NE,High,2006,2005,Degraded - Nearby clearing,High,NA,NA,,,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2003,1990,No,High,Disagree - minor,NA,Sample complete!,,,,NA,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4153.html,Rizky checked,OMISSION,OMISSION,YES,Edited entry,changing from forest degradation to non forest,Kalimantan,4153,Non Forest,High,Pertanian Lahan Kering Campur Semak,CLEAR_AB,High,,,,,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,Yes,2012,1990,Yes,Low,Disagree - major,,Sample complete!,,,,,NA,NA,NA,The pixel is surrounded by palm smallholder
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4159.html,Rizky checked,OMISSION,AGREE_NON,YES,Edited entry,,Kalimantan,4159,Non Forest,Low,Pertanian Lahan Kering Campur Semak,CLEAR_SH,High,,,,,,,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,yes,none,1991,Yes,high,Disagree - major,Diana edited,Sample complete!,,,,,NA,NA,NA,
Rizky checked,file:///E:/Indonesia_samples/pages_new/Kalimantan_sample4163.html,Rizky checked,COMMISSION,AGREE_NON,YES,No edits needed,,Kalimantan,4163,Non Forest,high,Belukar,NON,High,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,,yes,none,1990,no,high,Disagree - major,,Pixel is right on the road in the middle of forest,,,,,NA,NA,NA,
